"filename", "language", "JSON", "TypeScript", "JSON with Comments", "Markdown", "TypeScript JSX", "XML", "JavaScript", "PostCSS", "MS SQL", "comment", "blank", "total"
"/Users/sinsin/Desktop/methang/db/seed.ts", "TypeScript", 0, 343, 0, 0, 0, 0, 0, 0, 0, 0, 21, 364
"/Users/sinsin/Desktop/methang/docs/CMU-ENTRA-SSO.md", "Markdown", 0, 0, 0, 251, 0, 0, 0, 0, 0, 0, 82, 333
"/Users/sinsin/Desktop/methang/eslint.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 16, 0, 0, 2, 3, 21
"/Users/sinsin/Desktop/methang/lib/cmu-auth.ts", "TypeScript", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 53, 292
"/Users/sinsin/Desktop/methang/lib/nurse-auth.ts", "TypeScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 13, 53
"/Users/sinsin/Desktop/methang/lib/prisma.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"/Users/sinsin/Desktop/methang/next.config.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 3, 8
"/Users/sinsin/Desktop/methang/package-lock.json", "JSON", 8975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8976
"/Users/sinsin/Desktop/methang/package.json", "JSON", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 46
"/Users/sinsin/Desktop/methang/postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"/Users/sinsin/Desktop/methang/prisma.config.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"/Users/sinsin/Desktop/methang/public/file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/sinsin/Desktop/methang/public/globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/sinsin/Desktop/methang/public/next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/sinsin/Desktop/methang/public/vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/sinsin/Desktop/methang/public/window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"/Users/sinsin/Desktop/methang/scripts/with-infisical.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 13, 47
"/Users/sinsin/Desktop/methang/skills-lock.json", "JSON", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 102
"/Users/sinsin/Desktop/methang/tsconfig.json", "JSON with Comments", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"Total", "-", 9126, 1057, 34, 334, 1750, 5, 56, 1424, 133, 145, 772, 14836
